tree_id,plant_type,species
113066,Tree,Cupressus macrocarpa :: Monterey Cypress
97434,Tree,Ulmus parvifolia :: Chinese Elm
91166,Tree,Cercis canadensis :: Eastern Redbud
87422,Tree,Lophostemon confertus :: Brisbane Box
87402,Tree,Prunus cerasifera :: Cherry Plum
87401,Tree,Pyrus kawakamii :: Evergreen Pear
87399,Tree,Pyrus kawakamii :: Evergreen Pear
87400,Tree,Pyrus kawakamii :: Evergreen Pear
87425,Tree,Tree(s) ::
87429,Tree,Acer rubrum :: Red Maple
87430,Tree,Acer rubrum :: Red Maple
87431,Tree,Acer rubrum :: Red Maple
87432,Tree,Acer rubrum :: Red Maple
87433,Tree,Acer rubrum :: Red Maple
87423,Tree,Lophostemon confertus :: Brisbane Box
87410,Tree,Lophostemon confertus :: Brisbane Box
85310,Tree,Olea europaea :: Olive Tree
85309,Tree,Olea europaea :: Olive Tree
85214,Tree,Jacaranda mimosifolia :: Jacaranda
85436,Tree,Lophostemon confertus :: Brisbane Box
85249,Tree,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear
85250,Tree,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear
85435,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85433,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85434,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85437,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85439,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85440,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85441,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85442,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85444,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85445,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85446,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85447,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
85448,Tree,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore
151902,Tree,Pittosporum undulatum :: Victorian Box
17872,Tree,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia
109669,Tree,Sequoia sempervirens :: Coast Redwood
73079,Tree,Platanus x hispanica :: Sycamore: London Plane
73302,Tree,Platanus x hispanica :: Sycamore: London Plane
74830,Tree,Platanus x hispanica :: Sycamore: London Plane
74968,Tree,Platanus x hispanica :: Sycamore: London Plane
112504,Tree,Pyrus kawakamii :: Evergreen Pear
103514,Tree,Pyrus calleryana :: Ornamental Pear
234571,Tree,Platanus x hispanica :: Sycamore: London Plane
231178,Tree,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood
231193,Tree,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood
109656,Tree,Cupressus macrocarpa :: Monterey Cypress
82028,Tree,Lophostemon confertus :: Brisbane Box
72943,Tree,Prunus cerasifera :: Cherry Plum
78382,Tree,Melaleuca ericifolia :: Heath Melaleuca
24782,Tree,Metrosideros excelsa :: New Zealand Xmas Tree
